# Positron Data Export
# Export Date: 2026-02-02 16:37:34
#
# Scope Model: 3406D
# Serial Number: JZ254/0097
# Sample Rate: 250.00 MS/s
# Voltage Range: 100 mV (all channels)
# Capture Window: 2.996 µs (Pre: 0.996 µs, Post: 2.000 µs)
#
# Trigger Configuration:
#   Condition 1: A
#   Condition 2: B
#   Condition 3: C
#   Condition 4: D
#   Auto-trigger: OFF
#
# Calibration Status:
#   Channel A: Calibrated
#     Gain: 3.583508e-02 keV/(mV·ns)
#     Offset: -14.722541 keV
#     Date: 2026-02-02 10:30
#   Channel B: Calibrated
#     Gain: 3.755677e-02 keV/(mV·ns)
#     Offset: -19.619001 keV
#     Date: 2026-02-02 10:30
#   Channel C: Calibrated
#     Gain: 3.620966e-02 keV/(mV·ns)
#     Offset: -34.953938 keV
#     Date: 2026-02-02 10:29
#   Channel D: Calibrated
#     Gain: 3.946591e-02 keV/(mV·ns)
#     Offset: -21.964536 keV
#     Date: 2026-02-02 10:28
#
# Acquisition Statistics:
#   Total Events: 1,170
#   Elapsed Time: 00:00:09
#   Average Rate: 126.1 events/s
#
A_has_pulse,A_timing_ns,A_energy_kev,B_has_pulse,B_timing_ns,B_energy_kev,C_has_pulse,C_timing_ns,C_energy_kev,D_has_pulse,D_timing_ns,D_energy_kev
FALSE,0.000000,-14.606966,FALSE,0.000000,-19.733490,TRUE,1.777766,282.746159,TRUE,8.000000,221.420249
FALSE,0.000000,-14.492304,TRUE,3.971997,31.134107,TRUE,5.773863,310.202018,FALSE,0.000000,-21.917929
FALSE,0.000000,-15.062872,TRUE,24.000000,499.639319,TRUE,6.224031,28.735487,FALSE,0.000000,-20.788826
FALSE,0.000000,-14.606966,FALSE,0.000000,-20.087407,FALSE,0.000000,-33.014778,TRUE,2.252017,1042.539601
TRUE,4.665176,308.480103,FALSE,0.000000,-19.731127,FALSE,0.000000,-35.662025,FALSE,0.000000,-24.408670
FALSE,0.000000,-15.063785,TRUE,48.799053,70.995958,FALSE,0.000000,-35.892823,FALSE,0.000000,-20.785334
FALSE,0.000000,-14.606966,TRUE,12.000000,259.915909,FALSE,0.000000,-36.925411,FALSE,0.000000,-22.670664
FALSE,0.000000,-14.721627,FALSE,0.000000,-19.614251,FALSE,0.000000,-33.586694,TRUE,0.428257,226.668979
FALSE,0.000000,-14.264807,FALSE,0.000000,-19.259384,FALSE,0.000000,-34.510807,TRUE,4.317941,892.831554
FALSE,0.000000,-15.291282,FALSE,0.000000,-19.733490,FALSE,0.000000,-33.588540,TRUE,4.140889,173.973595
TRUE,4.204325,495.633937,FALSE,0.000000,-19.731590,FALSE,0.000000,-36.008683,TRUE,12.224245,39.964921
FALSE,0.000000,-14.950037,FALSE,0.000000,-19.729689,TRUE,0.000000,-38.641014,FALSE,0.000000,-23.543175
